id,title,authors,abstract,field,field_multi,is_AP,is_NA
2503.22086v1,"Multiplicity and uniqueness of positive solutions for a superlinear-singular $(p,q)$-Laplacian equation on locally finite graphs",Xuechen Zhang; Xingyong Zhang,"We investigate the multiplicity and uniqueness of positive solutions for the superlinear singular $(p,q)$-Laplacian equation \begin{eqnarray*}   \begin{cases} -\Delta_p u-\Delta_q u+a(x)u^{p-1}+b(x)u^{q-1}=f(x)u^{-\gamma}+\lambda g(x)u^{\alpha}, \;\;\;\;\hfill \mbox{in}\;\; V,\\ u>0,\;\;u\in W_a^{1,p}(V) \cap W_b^{1,q}(V),   \end{cases} \end{eqnarray*} on a weighted locally finite graph $G=(V,E)$, where $0<\gamma<1<q\leq p<\alpha+1$, $\lambda$ is a parameter, the potential functions $a(x)$ and $b(x)$ satisfy some suitable conditions, $f>0, g \geq 0$, $f\in L^1(V)\cap L^{\frac{p}{p-1+\gamma}}(V) \cap L^{\frac{q}{q-1+\gamma}}(V)$ and $g\in L^1(V)\cap L^\infty(V)$. By making use of the method of Nehari manifold and the Ekeland's variational principle, we prove that there exist two positive solutions for $\lambda$ belonging to some precise interval. Besides, we also investigate the existence and uniqueness of positive solution for $\lambda<0$. We overcome some difficulties which are caused by: $(i)$ the singular term; $(ii)$ the definition of gradient $|\nabla u|$ on graph which is different from that on $\mathbb{R}^N$; $(iii)$ the lack of compactness of Sobolev embedding.",AP,AP,1,0
2503.22077v1,Boundedness and Morawetz estimates on subextremal Kerr de Sitter,Georgios Mavrogiannis,"We study the Klein--Gordon equation $\Box_{g_{a,M,l}}\psi-\mu^2_{\textit{KG}}\psi=0$ on subextremal Kerr--de Sitter black hole backgrounds with parameters $(a,M,l)$, where $l^2=\frac{3}{\Lambda}$. We prove boundedness and Morawetz estimates assuming an appropriate mode stability statement for real frequency solutions of Carter's radial ode. Our results in particular apply in the very slowly rotating case $|a|\ll M,l$, and in the case where the solution~$\psi$ is axisymmetric. This generalizes the work of Dafermos--Rodnianski \cite{DR3} on Schwarzschild--de~Sitter.   The boundedness and Morawetz results of the present paper will be used in our companion \cite{mavrogiannis2} to prove a `relatively non-degenerate integrated estimate' for subextremal Kerr--de Sitter black holes~(and as a consequence exponential decay). In a forthcoming paper \cite{mavrogiannis3}, this will immediately yield nonlinear stability results for quasilinear wave equations on subextremal Kerr--de Sitter backgrounds.",AP,AP,1,0
2503.22070v1,Quantum Quasi-neutral limits and isothermal Euler Equations,Immanuel Ben Porat; Gui-Qiang G. Chen; Difan Yuan,"We provide a rigorous justification of the semiclassical quasi-neutral and the quantum many-body limits to the isothermal Euler equations. We consider the nonlinear Schr\""{o}dinger-Poisson-Boltzmann system under a quasi-neutral scaling and establish the convergence of its solutions to the isothermal Euler equations. Different from the previous results that dealt with the linear Poisson equations, the system under our consideration accounts for the exponential nonlinearity in the potential. A modulated energy method is adopted, allowing us to derive the stability estimates and asymptotics. Furthermore, we focus our analysis on the many-body quantum problem via the von Neumann equation and establish a mean-field limit in one dimension by using Serfaty's functional inequalities, and thus connecting the quantum many-body dynamics with the macroscopic hydrodynamic equations. A refined analysis of the quasi-neutral scaling for the massless systems is presented, and the well-posedness of the underlying quantum dynamics is established. Moreover, the construction of general admissible initial data is obtained. Our results provide a rigorous mathematical analysis for the derivation of quantum hydrodynamic models and their limits, contributing to the broader understanding of interactions between quantum mechanics and compressible fluid dynamics.",AP,AP,1,0
2503.22062v1,Asymptotic limit of the principal eigenvalue of asymmetric nonlocal diffusion operators and propagation dynamics,Yihong Du; Xiangdong Fang; Wenjie Ni,"For fixed $c\in\mathbb R$, $l>0$ and a general non-symmetric kernel function $J(x)$ satisfying a standard assumption, we consider the nonlocal diffusion operator \begin{align*} \bf{L}^{J, c}_{(-l,l)}[\phi](x):=\int_{-l}^lJ(x-y)\phi(y)\,dy+c\phi'(x), \end{align*} and prove that its principal eigenvalue $\lambda_p(\bf{L}^{J, c}_{(-l,l)})$ has the following asymptotic limit: \begin{equation*}\label{l-to-infty-c} \lim\limits_{l\to \infty}\lambda_p(\bf {L}^{J, c}_{(-l,l)})=\inf\limits_{\nu\in\mathbb{R}}\big[\int_{\mathbb{R}}J(x)e^{-\nu x}\,dx+c\nu\big]. \end{equation*} We then demonstrate how this result can be applied to determine the propagation dynamics of the associated Cauchy problem \begin{equation*}   \label{cau}   \left\{   \begin{array}{ll}   \displaystyle u_t = d \big[\int_{\mathbb{R}} J(x-y) u(t,y) \, dy - u(t,x)\big] + f(u), & t > 0, \; x \in \mathbb{R},   u(0, x) = u_0(x), & x \in \mathbb{R},   \end{array}   \right. \end{equation*} with a KPP nonlinear term $f(u)$. This provides a new approach to understand the propagation dynamics of KPP type models, very different from those based on traveling wave solutions or on the dynamical systems method of Weinberger (1982).",AP,AP,1,0
2503.21944v1,Inverse problems for the Bakry-Émery Laplacian on manifolds with boundary -- uniqueness and non-uniqueness,Jack Borthwick; Niky Kamran,"We study the questions of uniqueness and non-uniqueness for a pair of closely related inverse problems for the Bakry-\'Emery Laplacian $-\Delta_{\mathcal E}$ on a smooth compact and oriented Riemannian manifold with boundary $(\overline{M},g)$, endowed with a volume form $\mathfrak{m}=e^{-V}\omega_g$. These consist in recovering the Taylor coefficients of metric $g$ and weight $V$ along the boundary of $\overline{M}$ from the knowledge of a pair of operators that can be viewed as geometrically natural Dirichlet-to-Neumann maps associated to $-\Delta_{\mathcal E}$.",AP,AP,1,0
2503.21940v1,On the existence of normalized solutions to Schrödinger equations,Angela Pistoia; Christophe Troestler; Chunhua Wang,"We study the existence of positive solutions to the nonlinear Schr\""odinger equation $$-\Delta v+V(x)v+\lambda v=v^{p} \text{ in } \mathbb R^N$$ with a prescribed mass $$\int_{\mathbb R^N} v^2=\mu,$$ which concentrate at non-degenerate critical points of the potential $V$ as the prescribed mass $\mu$ is either large (when $p<1+\frac 4N$) or small (when $p>1+\frac 4N$) or it approaches some critical threshold (when $p=1+\frac 4N$).",AP,AP,1,0
2503.21899v1,Geometric regularity estimates for quasi-linear elliptic models in non-divergence form with strong absorption,Claudemir Alcantara; João Vitor da Silva; Ginaldo Sá,"In this manuscript, we investigate geometric regularity estimates for problems governed by quasi-linear elliptic models in non-divergence form, which may exhibit either degenerate or singular behavior when the gradient vanishes, under strong absorption conditions of the form: \[ |\nabla u(x)|^{\gamma} \Delta_p^{\mathrm{N}} u(x) = f(x, u) \quad \text{in} \quad B_1, \] where $\gamma > -1$, $p \in (1, \infty)$, and the mapping $u \mapsto f(x, u) \lesssim \mathfrak{a}(x) u_{+}^m$ (with $m \in [0, \gamma + 1)$) does not decay sufficiently fast at the origin. This condition allows for the emergence of plateau regions, i.e., a priori unknown subsets where the non-negative solution vanishes identically. We establish improved geometric $\mathrm{C}^\kappa_{\text{loc}}$ regularity along the set $\mathscr{F}_0 = \partial \{u > 0\} \cap B_1$ (the free boundary of the model) for a sharp value of $\kappa \gg 1$, which is explicitly determined in terms of the structural parameters. Additionally, we derive non-degeneracy results and other measure-theoretic properties. Furthermore, we prove a sharp Liouville theorem for entire solutions exhibiting controlled growth at infinity.",AP,AP,1,0
2503.21700v1,Normalized solutions of one-dimensional defocusing NLS equations with nonlinear point interactions,Daniele Barbera; Filippo Boni; Simone Dovetta; Lorenzo Tentarelli,"We investigate normalized solutions for doubly nonlinear Schr\""odinger equations on the real line with a defocusing standard nonlinearity and a focusing nonlinear point interaction of $\delta$--type at the origin. We provide a complete characterization of existence and uniqueness for normalized solutions and for energy ground states for every value of the nonlinearity powers. We show that the interplay between a defocusing standard and a focusing point nonlinearity gives rise to new phenomena with respect to those observed with single nonlinearities, standard combined nonlinearities, and combined focusing standard and pointwise nonlinearities.",AP,AP,1,0
2503.21684v1,Decorated phases in triblock copolymers: zeroth- and first-order analysis,Stanley Alama; Lia Bronsard; Xinyang Lu; Chong Wang,"We study a two-dimensional inhibitory ternary system characterized by a free energy functional which combines an interface short-range interaction energy promoting micro-domain growth with a Coulomb-type long-range interaction energy which prevents micro-domains from unlimited spreading. Here we consider a scenario in which two species are dominant and one species is vanishingly small. In this scenario two energy levels are distinguished: the zeroth-order energy encodes information on the optimal arrangement of the dominant constituents, while the first-order energy gives the shape of the vanishing constituent. This first-order energy also shows that, for any optimal configuration, the vanishing phase must lie on the boundary between the two dominant constituents and form lens clusters also known as vesica piscis.",AP,AP,1,0
2503.21675v1,Reducing of system of partial differential equations and generalized symmetry of ordinary differential equations,I. M. Tsyfra; P. Sitko,"Symmetry reductions of systems of two nonlinear partial differential equations are studied. We find ansatzes reducing system of partial differential equations to system of ordinary differential equations. The method is applied to system related to Korteweg -- de Vries (KdV) equation, and reaction-diffusion equations. We have also shown the possibility of constructing solution to system of non-evolutionary equations, which contains one or two arbitrary functions.",AP,AP,1,0
2503.21625v1,On the reverse isoperimetric inequality in Gauss space,Friedemann Brock; Francesco Chiacchio,"In this paper we investigate the reverse isoperimetric inequality with respect to the Gaussian measure for convex sets in $\mathbb{R}^{2}$. While the isoperimetric problem for the Gaussian measure is well understood, many relevant aspects of the reverse problem have not yet been investigated. In particular, to the best of our knowledge, there seem to be no results on the shape that the isoperimetric set should take. Here, through a local perturbation analysis, we show that smooth perimeter-maximizing sets have locally flat boundaries. Additionally, we derive sharper perimeter bounds than those previously known, particularly for specific classes of convex sets such as the convex sets symmetric with respect to the axes. Finally, for quadrilaterals with vertices on the coordinate axes, we prove that the set maximizing the perimeter ""degenerates"" into the x-axis, traversed twice.",AP,AP,1,0
2503.21604v1,On the dynamics of leapfrogging vortex rings,Martin Donati; Lars Eric Hientzsch; Christophe Lacave; Evelyne Miot,"The evolution of highly concentrated vorticity around rings in the three-dimensional axisymmetric Euler equations is studied in a regime for which the leapfrogging dynamics predicted by Helmholtz is expected to occur. For a general class of initial data corresponding to vortex rings of sufficiently small thickness $\varepsilon>0$, we prove weak and strong localization estimates for the vortex rings at positive times up to some time $T_0/|\ln \varepsilon|$ for fixed $T_0$, independent of $\varepsilon$. Moreover, we derive the motion law for the position of the rings on $[0,T_0/|\ln \varepsilon|]$. To the best of our knowledge, this is the first result of a rigorous derivation of the leapfrogging motion up to times of order $|\ln\varepsilon|^{-1}$ for general initial data and the suitable scaling regime. The singular interaction of rings requires significant improvements of weak and strong localization estimates obtained in prior works. Our method is based on the combination of a new variational argument and a recently introduced double iterative procedure. Possibly due to natural filamentation of the vortex rings, which induces a lack of control of the support of the solution in the symmetry axis direction, our method does not allow to reach the time at which the rings have performed a full rotation around each other.",AP,AP,1,0
2503.21580v1,Global higher integrability and Hardy inequalities for double-phase functionals under a capacity density condition,Fabian Bäuerlein; Samuele Riccò; Leah Schätzler,"We prove global higher integrability for functionals of double-phase type under a uniform local capacity density condition on the complement of the considered domain $\Omega \subset \mathbb{R}^n$. In this context, we investigate a new natural notion of variational capacity associated to the double-phase integrand. Under the related fatness condition for the complement of $\Omega$, we establish an integral Hardy inequality. Further, we show that fatness of $\mathbb{R}^n \setminus \Omega$ is equivalent to a boundary Poincar\'e inequality, a pointwise Hardy inequality and to the local uniform $p$-fatness of $\mathbb{R}^n \setminus \Omega$. We provide a counterexample that shows that the expected Maz'ya type inequality - a key intermediate step toward global higher integrability - does not hold with the notion of capacity involving the double-phase functional itself.",AP,AP,1,0
2503.21572v2,Convergence of a Stochastic Particle System to the Continuous Generalized Exchange-Driven Growth Model,Chun Yin Lam; André Schlichting,"The continuous generalized exchange-driven growth model (CGEDG) is a system of integro-differential equations describing the evolution of cluster mass under mass exchange. The rate of exchange depends on the masses of the clusters involved and the mass being exchanged. This can be viewed as both a continuous generalization of the exchange-driven growth model and a coagulation-fragmentation equation that generalizes the continuous Smoluchowski equation.   Starting from a Markov jump process that describes a finite stochastic interacting particle system with exchange dynamics, we prove the weak law of large numbers for this process for sublinearly growing kernels in the mean-field limit. We establish the tightness of the stochastic process on a measure-valued Skorokhod space induced by the $1$-Wasserstein metric, from which we deduce the existence of solutions to the (CGEDG) system. The solution is shown to have a Lebesgue density under suitable assumptions on the initial data. Moreover, within the class of solutions with density, we establish the uniqueness under slightly more restrictive conditions on the kernel.",AP,AP,1,0
2503.21527v1,Dispersive estimates and optimality for Schrödinger equations on product cones,Kouichi Taira,"In this paper, we study time decay estimates for the Schr\""odinger propagator on the product cone $(X,g)$, where $X=C(\rho \mathbb{S}^{n-1})=(0,\infty)\times \rho\mathbb{S}^{n-1}$. We prove that the usual dispersive estimate holds when the radius $\rho$ is greater than or equal to 1 and fails otherwise. A part of the former result was already established in a recent paper by Jia-Zhang. The method used here relies purely on harmonic analysis, whereas Jia-Zhang employed microlocal analysis to capture the precise asymptotic behavior of the propagator.",AP,AP,1,0
2503.21523v1,A weak energy identity for $(n+α)$-harmonic maps with a free boundary in a sphere,Dorian Martino; Katarzyna Mazowiecka; Rémy Rodiac,"In this article, we show that sequences of $(n+\alpha)$-harmonic maps with a free boundary in $\mathbb S^{d-1}$, where $\alpha$ is a parameter tending to zero, converge to a bubble tree. For such sequences, we prove in detail that the limiting energy is equal to the energy of the macroscopic limit plus the sum of the energies of certain ``bubbles'', each multiplied by a corresponding coefficient.",AP,AP,1,0
2503.21509v1,Nonlinear Stability of Large-Period Traveling Waves Bifurcating from the Heteroclinic Loop in the FitzHugh-Nagumo Equation,Ji Li; Ke Wang; Qiliang Wu; Qing Yu,"A wave front and a wave back that spontaneously connect two hyperbolic equilibria, known as a heteroclinic wave loop, give rise to periodic waves with arbitrarily large spatial periods through the heteroclinic bifurcation. The nonlinear stability of these periodic waves is established in the setting of the FitzHugh-Nagumo equation, which is a well-known reaction-diffusion model with degenerate diffusion. First, for general systems, we give the expressions of spectra with small modulus for linearized operators about these periodic waves via the Lyapunov-Schmidt reduction and the Lin-Sandstede method. Second, applying these spectral results to the FitzHugh-Nagumo equation, we establish their diffusive spectral stability. Finally, we consider the nonlinear stability of these periodic waves against localized perturbations. We introduce a spatiotemporal phase modulation $\varphi$, and couple it with the associated modulated perturbation $\mathbf{V}$ along with the unmodulated perturbation $\mathbf{\widetilde{V}}$ to close a nonlinear iteration argument.",AP,AP,1,0
2503.21405v1,On the relativistic effect in the Dirac--Fock theory,Long Meng,"In this paper, we study the error bound of the Dirac--Fock ground-state energy and the Hartree--Fock ground-state energy. This error bound is called the relativistic effect in quantum mechanics. We confirm that the relativistic effect in the Dirac--Fock ground-state energy is of the order $\cO(c^{-2})$ with $c$ being the speed of light. Furthermore, if the potential between electrons and nuclei is regular, we get the leading order relativistic correction, which comprises the sum of the mass-velocity term, the Darwin term, and the spin-orbit term. The proof is based on a delicate study of projections onto the positive eigenspace of some Dirac operators.   To our knowledge, it is the first mathematical derivation of the leading order relativistic correction for nonlinear Dirac ground-state energies. Our method paves the way to study the relativistic effects in general nonlinear Dirac problems.",AP,AP,1,0
2503.21299v1,Microscopic limits of PDEs modeling macroscopic heat conduction,Ronald Mickens; Talitha Washington,"We show that it is possible to construct microscopic-level discrete equations from macroscopic modeling PDEs for heat conduction in one space dimension. The significance of this result is that, in general, one starts from microscopic theories and then take their continuum limits to obtain the corresponding macroscopic PDEs, whereas here it is demonstrated that the reverse procedure is also possible. While our focus is on heat conduction, we discuss the applicability of our methodology to other physical systems.",AP,AP,1,0
2503.21247v1,Remarks on the commutation relations between the Gauss--Weierstrass semigroup and monomial weights,Yi C. Huang; Ryunosuke Kusaba; Tohru Ozawa,"We consider the commutation relations between the Gauss--Weierstrass semigroup on $\mathbb{R}^{n}$, generated by convolution with the complex Gauss kernel, and monomial weights. We provide an explicit representation and a sharper estimate of the commutation relations with more concise proofs than those in previous works.",AP,AP,1,0
2503.21245v1,Global Stable Solutions to the Free Boundary Allen--Cahn and Bernoulli Problems in 3D are One-Dimensional,Hardy Chan; Xavier Fernández-Real; Alessio Figalli; Joaquim Serra,"A long-standing conjecture of De Giorgi asserts that every monotone solution of the Allen--Cahn equation in \(\mathbb{R}^{n+1}\) is one-dimensional if \(n \leq 7\). A stronger version of the conjecture, also widely studied and often called ``the stable De Giorgi conjecture'', proposes that every stable solution in \(\mathbb{R}^n\) must be one-dimensional for \(n \leq 7\). To this date, both conjectures remain open for \(3 \leq n \leq 7\).   An elegant variant of this problem, advocated by Caffarelli, C\'ordoba, and Jerison since the 1990s, considers a free boundary version of the Allen--Cahn equation. This variant features a step-like double-well potential, leading to multiple free boundaries. Locally, near each free boundary, the solution satisfies the Bernoulli free boundary problem. However, the interaction of the free boundaries causes the global behavior of the solution to resemble that of the Allen--Cahn equation.   In this paper, we establish the validity of the stable De Giorgi conjecture in dimension 3 for the free boundary Allen--Cahn equation and, as a corollary, we prove the corresponding De Giorgi conjecture for monotone solutions in dimension 4. To obtain these results, a key aspect of our work is to address a classical open problem in free boundary theory of independent interest: the classification of global stable solutions to the one-phase Bernoulli problem in three dimensions. This result, which is the core of our paper, implies universal curvature estimates for local stable solutions to Bernoulli, and serves as a foundation for adapting some classical ideas from minimal surface theory -- after significant refinements -- to the free boundary Allen--Cahn equation.",AP,AP,1,0
2503.21181v1,Subwavelength Phononic Bandgaps in High-Contrast Elastic Media,Yuanchun Ren; Bochao Chen; Yixian Gao; Peijun Li,"Inspired by [25], this paper investigates subwavelength bandgaps in phononic crystals consisting of periodically arranged hard elastic materials embedded in a soft elastic background medium. Our contributions are threefold. First, we introduce the quasi-periodic Dirichlet-to-Neumann map and an auxiliary sesquilinear form to characterize the subwavelength resonant frequencies, which are identified through the condition that the determinant of a certain matrix vanishes. Second, we derive asymptotic expansions for these resonant frequencies and the corresponding non-trivial solutions, thereby establishing the existence of subwavelength phononic bandgaps in elastic media. Finally, we analyze dilute structures in three dimensions, where the spacing between adjacent resonators is significantly larger than the characteristic size of an individual resonator, allowing the inter-resonator interactions to be neglected. In particular, an illustrative example is presented in which the resonator is modeled as a ball.",AP,AP,1,0
2503.21131v1,Long-time dynamics of a parabolic-ODE SIS epidemic model with saturated incidence mechanism,Rui Peng; Rachidi Salako; Yixiang Wu,"In this paper, we investigate a parabolic-ODE SIS epidemic model with no-flux boundary conditions in a heterogeneous environment. The model incorporates a saturated infection mechanism \({SI}/(m(x) + S + I)\) with \(m \geq,\,\not\equiv 0\). This study is motivated by disease control strategies, such as quarantine and lockdown, that limit population movement. We examine two scenarios: one where the movement of the susceptible population is restricted, and another where the movement of the infected population is neglected. We establish the long-term dynamics of the solutions in each scenario. Compared to previous studies that assume the absence of a saturated incidence function (i.e., $m\equiv 0$), our findings highlight the novel and significant interplay between total population size, transmission risk level, and the saturated incidence function in influencing disease persistence, extinction, and spatial distribution. Numerical simulations are performed to validate the theoretical results, and the implications of the results are discussed in the context of disease control and eradication strategies.",AP,AP,1,0
2503.20971v1,Local well-posedness for cubic fractional Schrödinger equations with derivatives on the right-hand side,Ahmed Dughayshim; Silvino Reyes Farina; Armin Schikorra,"For $s \in (\frac{1}{2},1]$ we investigate well-posedness of the equation \[ \left ( i \partial_t + (-\Delta)^{s} \right ) u = \left (|D|^{1-2s} |u|^2 \right)\ |D|^{2s-1} u \] under small initial data $\|u(0)\|_{H^{\frac{n-2s}{2}}(\mathbb{R}^n)} \ll 1$.   This equation is a model equation for for $s$-Schr\""odinger map equation \[ \partial_t \psi = \psi \wedge (-\Delta)^s \psi: \quad \psi: \mathbb{R}^n \times \mathbb{R} \to \mathbb{S}^{2}, \]",AP,AP,1,0
2503.20955v1,Propagation of Shubin-Sobolev singularities of Weyl-quantizations of complex quadratic forms,Marcello Malagutti; Alberto Parmeggiani; Davide Tramontana,"The aim of this work is to develop the H\""ormander microlocal theory in the isotropic framework and use the results we obtain to study the propagation of singularities for an evolution problem, with diffusive part given by a Weyl-quantization of a complex quadratic form on the phase space.",AP,AP,1,0
2503.20922v1,A kinetic theory approach to consensus formation in financial markets,Jean-Gabriel Attali; Francesco Salvarani,"We investigate the relationship between analysts' one-year consensus forecasts for the S&P 500 index and its current level. Contrary to the conventional view that sentiment drives price forecasts, our analysis predicts that the average consensus has no effect on forecasts, while the current S&P 500 index level alone is sufficient to anticipate analysts' price expectations.   Employing a kinetic theory framework, we model the dynamics of analysts' opinions, by taking into account both the mutual influences shaping price consensus and the dynamics of the actual S&P 500 index level. Testing the model on real data on a long-time series of data shows that just three free parameters are enough to accurately describe the one-year average price forecasts of analysts.",AP,AP,1,0
